"","Adj.","Adv.","Art.","Conj.","Interrog. Part.","Interj.","Neg. Part.","Proper Noun","Demon. Pronoun","Prep.","Interrog. Pronoun","Pers. Pronoun","Noun","Verb"
"Amos",34,63,159,405,18,21,79,252,18,430,5,25,773,498
"Song",45,15,141,139,15,11,18,40,8,314,9,20,645,262
"1 Chr",89,117,1051,2650,13,15,70,3031,115,2430,10,105,4469,1399
"2 Chr",190,206,1618,3196,30,48,198,1990,114,3652,19,122,5656,2725
"Dan",57,23,273,646,6,16,58,126,23,595,1,34,1080,574
"Deut",343,285,1635,3191,20,28,461,1058,230,3854,21,258,5421,3322
"Eccl",109,110,379,635,13,7,130,9,48,690,41,75,1336,651
"Ezra",46,25,310,549,2,3,20,544,29,582,2,26,1294,313
"Esth",65,40,528,694,8,3,43,310,32,842,21,31,1401,603
"Exod",289,331,1995,3667,35,66,286,1416,147,4458,36,207,7292,3523
"Ezek",406,553,1731,3811,56,140,379,1271,122,4790,16,409,8419,4079
"Gen",336,540,1755,5004,102,226,288,2471,256,5031,56,368,7438,4890
"Hab",15,15,34,111,10,12,24,22,1,150,3,11,297,192
"Hag",15,18,104,107,5,6,9,74,13,143,3,10,258,112
"Hos",28,70,117,440,6,6,90,234,8,557,7,60,873,650
"Job",126,215,291,1605,142,82,375,160,56,1684,106,111,3548,2411
"Jer",301,662,2062,4170,125,201,669,2390,329,5302,62,323,8128,4993
"Isa",305,459,1109,3243,83,157,598,1270,179,3501,82,245,7228,4472
"Joel",26,22,93,203,5,4,19,68,7,187,4,8,438,234
"Jonah",23,7,78,160,5,5,14,59,7,185,9,12,220,201
"Josh",124,179,1329,2297,15,23,127,1824,155,2733,11,124,3755,1830
"Judg",119,211,997,2323,58,82,177,1357,104,2614,47,149,3398,2449
"Lev",307,121,1658,2670,2,29,314,587,84,3385,1,255,5295,2391
"Mal",14,14,57,191,12,9,25,71,5,189,14,29,335,222
"Mic",15,36,80,260,16,8,42,132,14,323,11,16,599,343
"Nah",17,20,35,97,4,5,16,28,0,96,5,8,273,142
"Neh",119,70,780,1239,18,15,83,835,57,1210,7,93,2401,915
"Num",217,251,1745,3243,53,56,223,2146,192,4257,22,178,7646,2959
"Obad",1,6,17,50,5,1,14,35,2,70,1,3,120,67
"Prov",317,106,170,1027,17,7,260,101,6,1191,32,69,3903,1653
"Ps",341,373,719,2720,102,144,553,1247,50,4350,67,294,9115,5294
"1 Kgs",230,274,1566,2944,49,81,218,1705,128,3310,22,181,5028,2949
"2 Kgs",150,246,1316,2803,87,96,221,1804,117,2953,29,133,4432,2920
"Ruth",17,39,113,337,14,7,27,137,8,314,3,29,374,383
"Zech",63,77,367,668,13,30,63,299,71,751,22,49,1238,760
"1 Sam",179,371,1337,3239,86,131,257,1869,173,3373,72,192,4255,3395
"2 Sam",145,302,1182,2517,93,86,172,1691,106,2728,38,153,3782,2617
"Lam",27,28,74,159,7,3,54,85,7,321,8,16,716,440
"Zeph",19,18,76,117,1,4,29,72,11,164,0,5,353,168
